NO,FROMNODENO,TONODENO,ID,DXD,FLAG,TJL,FS,TRAFFIC,flag
15296,7670,1944,17224.0,0,0,2,83.7,"B,C,W",1
14403,3932,2763,16020.0,0,0,5,37.95,"B,C,W",1
14360,3003,7498,15985.0,0,0,3,55.5,"B,C,W",1
14359,1696,3002,15984.0,0,0,5,31.8,"B,C,W",1
14358,3003,1696,15983.0,0,0,5,36.0,"B,C,W",1
14321,7275,4298,65.0,0,0,5,36.7,"B,C,W",1
14093,7272,4875,15708.0,0,0,5,42.4,"B,C,W",1
14092,2208,10126,15707.0,0,0,4,54.0,"B,C,W",1
14008,9820,4334,15621.0,0,0,4,46.1,"B,C,W",1
13527,284,286,15149.0,0,1,1,81.8,"B,C,W",0
13526,7039,286,15148.0,0,0,4,46.7,"B,C,W",0
13525,1445,1864,15147.0,0,0,4,48.6,"B,C,W",1
13524,2849,9849,15146.0,0,0,5,43.5,"B,C,W",0
13445,9819,9820,15058.0,0,0,4,46.1,"B,C,W",0
13425,2530,4300,15070.0,0,0,5,44.7,"B,C,W",1
13424,7274,2790,15069.0,0,0,5,41.5,"B,C,W",1
13421,9817,9818,15036.0,0,0,5,35.7,"B,C,W",1
13420,9816,9817,15035.0,0,0,5,35.7,"B,C,W",1
13419,7257,9816,10481.0,0,0,5,38.6,"B,C,W",1
13418,9815,7255,10487.0,0,0,4,54.5,"B,C,W",0
13411,1314,8296,15028.0,0,0,4,52.6,"B,C,W",1
13410,5114,1313,15027.0,0,0,5,42.6,"B,C,W",1
13409,1281,9813,15026.0,0,1,1,82.8,"B,C,W",1
13408,9813,6014,15025.0,0,1,1,82.8,"B,C,W",1
13329,9773,9774,14941.0,0,0,5,35.0,"B,C,W",0
13328,9772,9773,14940.0,0,0,5,35.0,"B,C,W",0
13327,9337,9772,14939.0,0,0,5,35.0,"B,C,W",0
13214,3611,9713,14830.0,0,0,5,40.8,"B,C,W",1
12776,1107,1109,14386.0,0,0,5,32.9,"B,C,W",0
12775,1108,2453,14385.0,0,0,5,41.0,"B,C,W",1
12774,1109,9432,14384.0,0,0,5,30.0,"B,C,W",1
12773,2453,1109,14383.0,0,0,5,31.3,"B,C,W",1
12626,8231,3802,14237.0,0,0,4,50.4,"B,C,W",0
12625,9338,3802,14236.0,0,0,5,35.0,"B,C,W",0
12624,9337,9338,14235.0,0,0,5,35.0,"B,C,W",0
12623,8231,9337,14234.0,0,0,5,35.0,"B,C,W",0
12437,9197,5957,14049.0,0,0,4,45.9,"B,C,W",0
12436,9197,9196,14048.0,0,0,5,35.0,"B,C,W",0
12435,9196,3803,14047.0,0,0,4,51.2,"B,C,W",1
12434,3801,3803,14046.0,0,0,3,64.1,"B,C,W",0
12433,9195,9197,14045.0,0,0,5,42.0,"B,C,W",0
12432,5957,3806,14044.0,0,0,4,47.25,"B,C,W",1
12431,3806,9196,14043.0,0,0,5,39.3,"B,C,W",1
12430,3823,4131,14042.0,0,0,3,62.8,"B,C,W",1
12429,7664,3823,14041.0,0,3,4,50.1,"B,C,W",1
12427,9193,9195,14039.0,0,0,5,42.0,"B,C,W",0
12423,9190,9191,14035.0,0,0,5,37.3,"B,C,W",0
12422,3809,9190,14034.0,0,0,5,39.9,"B,C,W",0
12420,8406,7684,14032.0,0,0,5,41.5,"B,C,W",1
12419,7760,7684,14031.0,0,0,5,44.0,"B,C,W",0
12407,9179,9180,14019.0,0,0,5,41.4,"B,C,W",0
12406,7758,9180,14018.0,0,0,4,47.0,"B,C,W",0
12405,9180,7759,14017.0,0,0,5,44.85,"B,C,W",0
12404,8229,7774,14016.0,0,0,4,47.2,"B,C,W",1
12403,9179,8229,14015.0,0,0,5,38.7,"B,C,W",0
12401,7758,9177,14013.0,0,0,4,47.0,"B,C,W",0
12399,7758,7764,11947.0,0,0,5,32.1,"B,C,W",0
12398,9169,3813,14011.0,0,0,5,37.3,"B,C,W",0
12397,9168,7660,14009.0,0,0,5,37.0,"B,C,W",0
12396,7660,9174,14008.0,0,0,5,43.9,"B,C,W",1
12386,9168,9169,13996.0,0,0,5,35.8,"B,C,W",0
11947,8231,8857,13533.0,0,0,5,44.2,"B,C,W",0
11824,8783,8780,13388.0,0,0,4,45.3,"B,C,W",1
11812,8784,7659,13377.0,0,0,4,46.3,"B,C,W",0
11811,8782,7661,13376.0,0,0,5,43.3,"B,C,W",0
11809,7671,8781,13374.0,0,0,4,45.3,"B,C,W",1
11808,8783,7671,13373.0,0,0,4,45.3,"B,C,W",1
11807,7774,8783,13372.0,0,0,4,45.1,"B,C,W",1
11582,3931,8706,13158.0,0,0,4,47.8,"B,C,W",1
11581,8560,759,13157.0,0,0,5,35.4,"B,C,W",1
11580,8705,1143,13156.0,0,0,5,38.3,"B,C,W",1
11579,8705,5115,13155.0,0,0,4,48.3,"B,C,W",1
11578,5112,8705,13154.0,0,0,4,45.4,"B,C,W",1
11555,8307,8653,9604.0,0,0,4,54.6,"B,C,W",0
11552,1865,3613,13120.0,0,0,5,41.1,"B,C,W",0
11469,8653,7057,11780.0,0,0,4,53.1,"B,C,W",0
11320,2189,5111,12843.0,0,0,5,40.8,"B,C,W",1
11319,5111,8560,12842.0,0,0,5,41.6,"B,C,W",1
11318,8560,2172,12841.0,0,0,5,38.0,"B,C,W",1
11317,1143,5110,12840.0,0,0,5,35.4,"B,C,W",1
11136,1506,1693,12627.0,0,0,5,38.7,"B,C,W",1
11056,2119,2401,12510.0,0,0,5,38.3,"B,C,W",1
11049,4136,8406,12499.0,0,0,5,39.5,"B,C,W",1
11042,4135,7762,11646.0,0,0,5,37.6,"B,C,W",1
11041,7683,8406,11648.0,0,0,5,37.4,"B,C,W",0
11035,7458,7462,11022.0,0,0,5,39.7,"B,C,W",1
11034,2224,7461,11025.0,0,0,5,31.25,"B,C,W",1
11033,7465,2223,11028.0,0,0,4,54.2,"B,C,W",1
11030,7532,7525,11138.0,0,0,5,31.25,"B,C,W",1
10755,2975,2976,12183.0,0,0,4,48.7,"B,C,W",1
10743,2720,834,12161.0,0,0,5,40.95,"B,C,W",0
10742,1112,834,12160.0,0,0,4,49.15,"B,C,W",0
10741,1107,1111,12159.0,0,0,4,53.8,"B,C,W",0
10740,5733,252,12158.0,0,0,5,43.7,"B,C,W",1
10739,2298,1082,12157.0,0,0,4,46.1,"B,C,W",1
10738,904,1108,12156.0,0,0,4,46.1,"B,C,W",1
10737,8307,1350,12155.0,0,0,4,51.4,"B,C,W",0
10547,8232,3800,11957.0,0,0,4,45.0,"B,C,W",0
10546,8231,8232,11956.0,0,0,5,44.6,"B,C,W",0
10545,7666,7665,11955.0,0,0,5,43.8,"B,C,W",1
10543,5837,3809,11953.0,0,0,3,58.1,"B,C,W",0
10538,7773,8229,11948.0,0,0,4,52.5,"B,C,W",1
10170,8050,8049,9163.0,0,6,3,64.0,"B,C,W",1
10169,3287,8050,9162.0,0,10,3,62.4,"B,C,W",1
9954,3236,2435,11893.0,0,0,4,54.1,"B,C,W",1
9842,7057,7038,13034.0,0,0,4,53.4,"B,C,W",0
9733,7762,7773,11670.0,0,0,4,51.1,"B,C,W",1
9732,7762,4133,11669.0,0,0,4,54.4,"B,C,W",1
9731,4133,3819,11668.0,0,0,4,52.0,"B,C,W",1
9730,7760,5838,11667.0,0,0,5,37.9,"B,C,W",0
9719,7764,7755,11656.0,0,0,5,42.3,"B,C,W",0
9718,7760,7764,11655.0,0,0,5,38.6,"B,C,W",0
9716,7759,7761,11653.0,0,0,5,42.45,"B,C,W",0
9715,7761,7762,11652.0,0,0,5,34.9,"B,C,W",1
9714,4136,7761,11651.0,0,0,5,40.1,"B,C,W",1
9713,7759,7760,11649.0,0,0,5,36.1,"B,C,W",0
9712,7757,7758,11647.0,0,0,5,31.0,"B,C,W",0
9516,3816,3814,11448.0,0,0,4,49.1,"B,C,W",1
9514,4129,3814,11446.0,0,0,4,46.8,"B,C,W",1
9513,4131,3822,11445.0,0,0,4,51.3,"B,C,W",1
9512,3821,7669,11444.0,0,0,4,54.1,"B,C,W",1
9511,7669,3816,11443.0,0,0,4,48.4,"B,C,W",1
9510,7672,3815,11442.0,0,0,5,43.9,"B,C,W",1
9509,3820,3817,11441.0,0,0,4,54.6,"B,C,W",1
9508,3818,7662,11440.0,0,0,4,50.7,"B,C,W",1
9507,7662,7672,11439.0,0,0,4,47.4,"B,C,W",1
9506,7659,7672,11438.0,0,0,5,39.4,"B,C,W",1
9505,3817,7671,11437.0,0,0,4,47.3,"B,C,W",1
9504,7671,7663,11436.0,0,0,4,51.6,"B,C,W",1
9503,7663,7661,11435.0,0,0,4,54.6,"B,C,W",1
9502,7661,7659,11434.0,0,0,4,49.3,"B,C,W",1
9501,4125,7670,11433.0,0,0,2,88.4,"B,C,W",1
9500,3815,7668,11432.0,0,0,5,39.1,"B,C,W",1
9499,7662,7668,11431.0,0,0,5,43.0,"B,C,W",1
9498,3818,7667,11430.0,0,0,5,39.4,"B,C,W",1
9497,7667,3821,11429.0,0,0,5,42.2,"B,C,W",1
9496,7668,7669,11428.0,0,0,5,44.2,"B,C,W",1
9495,7669,7666,11427.0,0,0,5,41.4,"B,C,W",1
9494,3821,7664,11426.0,0,0,4,48.1,"B,C,W",1
9493,7668,7667,11425.0,0,0,5,39.6,"B,C,W",1
9492,7667,3820,11424.0,0,0,5,44.8,"B,C,W",1
9491,3814,7666,11423.0,0,0,4,48.0,"B,C,W",1
9490,7665,7664,11422.0,0,0,5,44.7,"B,C,W",1
9489,7664,3822,11421.0,0,0,4,48.2,"B,C,W",1
9488,7663,3818,11420.0,0,0,5,39.1,"B,C,W",1
9487,7661,7662,11419.0,0,0,4,47.5,"B,C,W",1
9486,7659,7660,11418.0,0,0,4,53.8,"B,C,W",1
9242,7534,2726,11170.0,0,0,5,38.0,"B,C,W",0
9241,7523,7534,11169.0,0,0,5,33.3,"B,C,W",0
9237,7522,1701,11165.0,0,0,5,42.7,"B,C,W",0
9236,3403,2725,11164.0,0,0,4,46.5,"B,C,W",1
9235,2726,7519,11163.0,0,0,4,50.8,"B,C,W",1
9234,7519,7532,11162.0,0,0,4,53.9,"B,C,W",1
9233,7532,2825,11161.0,0,0,4,52.7,"B,C,W",1
9232,4521,5947,11160.0,0,0,3,55.05,"B,C,W",0
9228,835,56,11156.0,0,0,5,40.3,"B,C,W",0
9225,7529,7528,11153.0,0,0,5,30.0,"B,C,W",0
9224,7528,835,11152.0,0,0,5,38.0,"B,C,W",0
9223,7527,296,11151.0,0,0,4,54.1,"B,C,W",0
9220,7525,7516,11148.0,0,0,5,30.0,"B,C,W",1
9219,7525,7521,11147.0,0,0,5,30.0,"B,C,W",1
9217,7523,2725,11145.0,0,0,5,30.0,"B,C,W",0
9216,7512,7523,11144.0,0,0,5,32.35,"B,C,W",0
9215,7522,7520,11143.0,0,0,4,45.8,"B,C,W",0
9214,7520,7521,11141.0,0,0,5,38.0,"B,C,W",0
9213,7519,7516,11140.0,0,0,5,39.0,"B,C,W",1
9211,7516,7517,11137.0,0,0,5,30.0,"B,C,W",1
9206,7498,2417,11132.0,0,0,3,55.0,"B,C,W",1
9186,7499,7500,11112.0,0,0,5,30.85,"B,C,W",1
9185,7498,7499,11111.0,0,0,5,33.4,"B,C,W",1
9142,2189,5108,11066.0,0,0,5,40.8,"B,C,W",1
9140,4334,5106,11064.0,0,0,5,44.3,"B,C,W",1
9139,1598,1600,11063.0,0,0,5,41.25,"B,C,W",0
9138,1951,2936,11062.0,0,0,5,44.2,"B,C,W",1
9137,2025,716,11061.0,0,0,5,34.0,"B,C,W",1
9136,2140,2756,11060.0,0,0,5,39.4,"B,C,W",1
9135,2756,2757,11059.0,0,0,5,44.6,"B,C,W",1
9134,7266,2758,11058.0,0,0,5,32.9,"B,C,W",1
9133,2756,7266,11057.0,0,0,5,34.35,"B,C,W",1
9132,1207,715,11056.0,0,0,5,31.8,"B,C,W",1
9131,7460,2418,11055.0,0,0,5,39.0,"B,C,W",1
9130,2436,7460,11054.0,0,0,4,50.8,"B,C,W",1
9129,2402,7472,11053.0,0,0,5,43.8,"B,C,W",1
9128,2416,2418,11052.0,0,0,5,35.0,"B,C,W",0
9127,2419,2435,11051.0,0,0,5,35.6,"B,C,W",1
9126,714,2435,11050.0,0,0,5,30.0,"B,C,W",1
9125,7469,713,11049.0,0,0,5,32.4,"B,C,W",1
9124,7463,7469,11048.0,0,0,5,30.55,"B,C,W",1
9123,1207,7463,11047.0,0,0,5,30.0,"B,C,W",1
9122,2436,7472,11046.0,0,0,5,41.0,"B,C,W",1
9121,7472,2223,11045.0,0,0,5,31.4,"B,C,W",1
9120,2224,7466,11044.0,0,0,5,33.95,"B,C,W",1
9119,7466,7470,11043.0,0,0,5,34.3,"B,C,W",1
9118,7470,1206,11042.0,0,0,5,34.45,"B,C,W",1
9117,7471,2304,11041.0,0,0,5,35.05,"B,C,W",1
9116,7463,7471,11040.0,0,0,5,33.5,"B,C,W",1
9115,2303,2304,11039.0,0,0,5,38.0,"B,C,W",1
9114,7468,7462,11038.0,0,0,5,32.25,"B,C,W",1
9113,7470,7468,11037.0,0,0,5,32.9,"B,C,W",1
9112,2402,7459,11036.0,0,0,3,63.4,"B,C,W",1
9111,7458,7469,11035.0,0,0,5,41.9,"B,C,W",1
9110,7461,7465,11034.0,0,0,4,53.8,"B,C,W",1
9109,7467,7461,11033.0,0,0,5,41.3,"B,C,W",1
9108,7468,7467,11032.0,0,0,5,39.3,"B,C,W",1
9107,7466,7467,11031.0,0,0,4,46.6,"B,C,W",1
9106,7464,7457,11030.0,0,0,4,50.7,"B,C,W",1
9105,7459,7460,11029.0,0,0,3,55.5,"B,C,W",1
9104,7464,7465,12481.0,0,0,4,48.9,"B,C,W",1
9103,714,7464,11027.0,0,0,4,52.9,"B,C,W",1
9102,7462,7463,11026.0,0,0,5,30.0,"B,C,W",1
9101,7461,7457,12482.0,0,0,5,30.0,"B,C,W",1
9100,7460,2419,11024.0,0,0,4,47.8,"B,C,W",1
9099,2401,7459,11023.0,0,0,3,58.5,"B,C,W",1
9098,7457,7458,12483.0,0,0,4,50.2,"B,C,W",1
9097,7457,713,11021.0,0,0,5,30.0,"B,C,W",1
8655,7275,1142,10554.0,0,0,4,50.6,"B,C,W",1
8654,2207,1337,10553.0,0,0,5,41.6,"B,C,W",1
8653,5116,2208,10552.0,0,0,4,48.8,"B,C,W",1
8652,1920,7274,10551.0,0,0,5,31.5,"B,C,W",1
8651,7271,1920,10550.0,0,0,4,45.0,"B,C,W",1
8650,2896,7271,10549.0,0,0,3,61.5,"B,C,W",1
8649,2791,1319,10548.0,0,0,5,44.65,"B,C,W",1
8648,4874,4873,10547.0,0,0,5,34.6,"B,C,W",1
8645,2520,2522,10544.0,0,0,5,39.6,"B,C,W",0
8644,2149,118,10543.0,0,0,5,40.6,"B,C,W",1
8643,2521,119,10542.0,0,0,5,35.45,"B,C,W",0
8642,1600,2936,10541.0,0,0,4,46.1,"B,C,W",0
8641,7273,1562,10540.0,0,0,4,45.4,"B,C,W",1
8639,7272,7273,10538.0,0,0,4,45.1,"B,C,W",1
8638,2025,2140,10537.0,0,0,5,44.8,"B,C,W",1
8637,7265,7269,10536.0,0,0,5,36.7,"B,C,W",0
8636,7268,2975,10535.0,0,0,4,54.0,"B,C,W",0
8635,2521,7270,10534.0,0,0,5,34.5,"B,C,W",0
8634,7271,2149,10533.0,0,0,4,54.2,"B,C,W",1
8633,2522,7270,10532.0,0,0,3,62.2,"B,C,W",1
8632,7270,2149,10531.0,0,0,4,55.8,"B,C,W",1
8631,7269,1206,10530.0,0,0,5,35.0,"B,C,W",0
8630,7265,2757,10529.0,0,0,5,44.2,"B,C,W",0
8629,7265,7267,10528.0,0,0,5,44.7,"B,C,W",0
8628,1219,5116,10527.0,0,0,4,46.3,"B,C,W",1
8627,2758,715,10526.0,0,0,5,30.0,"B,C,W",1
8626,7267,7268,10525.0,0,0,5,44.1,"B,C,W",0
8625,7265,7266,10524.0,0,0,5,34.0,"B,C,W",0
8624,4873,2791,10523.0,0,0,5,44.2,"B,C,W",1
8623,2207,5116,10522.0,0,0,5,35.6,"B,C,W",1
8597,7259,5107,10496.0,0,0,5,39.6,"B,C,W",1
8596,5113,7259,10495.0,0,0,3,56.2,"B,C,W",1
8595,7259,7257,10494.0,0,0,3,61.2,"B,C,W",1
8590,2189,5109,10486.0,0,0,5,34.9,"B,C,W",1
8588,5109,5106,10484.0,0,0,5,37.7,"B,C,W",1
8586,7257,7255,10482.0,0,0,4,48.0,"B,C,W",1
8585,7255,7256,10480.0,0,0,4,45.2,"B,C,W",1
8323,5961,7128,9018.0,0,0,5,31.9,"B,C,W",0
8241,2520,926,8908.0,0,0,5,44.0,"B,C,W",0
8201,7040,4371,8844.0,0,0,4,54.2,"B,C,W",1
8171,7038,7040,980.0,0,0,4,54.0,"B,C,W",1
7270,1446,1280,7780.0,0,1,1,81.9,"B,C,W",1
7269,6014,1188,7779.0,0,1,1,89.1,"B,C,W",1
7203,4573,2561,7707.0,0,1,1,93.2,"B,C,W",1
7201,3807,3808,7705.0,0,0,4,54.0,"B,C,W",1
7200,2852,5957,7704.0,0,0,5,44.4,"B,C,W",1
7199,5188,3812,7703.0,0,0,4,45.5,"B,C,W",1
7198,5193,5189,6481.0,0,0,4,45.4,"B,C,W",0
7063,3831,4135,7558.0,0,0,4,46.9,"B,C,W",1
6898,1108,5733,10160.0,0,0,5,41.9,"B,C,W",1
6879,2853,5188,7351.0,0,0,5,39.1,"B,C,W",1
6825,165,2454,7294.0,0,0,5,39.95,"B,C,W",1
6813,3931,3932,7142.0,0,0,5,41.4,"B,C,W",1
6155,5188,5189,6479.0,0,0,5,40.9,"B,C,W",1
6067,2208,1220,6390.0,0,0,4,46.0,"B,C,W",1
6066,1336,5116,10090.0,0,0,4,53.8,"B,C,W",1
6065,1144,1142,6388.0,0,0,5,41.2,"B,C,W",1
6064,3931,5115,6387.0,0,0,5,44.2,"B,C,W",1
6063,1220,5115,6386.0,0,0,4,48.7,"B,C,W",1
6062,1144,5115,6385.0,0,0,5,44.1,"B,C,W",1
6061,5114,3930,6384.0,0,0,4,46.2,"B,C,W",1
6060,5108,5113,6383.0,0,0,5,40.45,"B,C,W",1
6059,5113,5114,6382.0,0,0,5,44.5,"B,C,W",1
6058,5112,5113,6381.0,0,0,4,46.1,"B,C,W",1
6057,5112,3930,6380.0,0,0,3,55.3,"B,C,W",1
6056,5110,5112,6379.0,0,0,5,34.1,"B,C,W",1
6055,5111,5110,6378.0,0,0,5,35.7,"B,C,W",1
6054,5108,5110,6377.0,0,0,5,43.6,"B,C,W",1
6053,2173,4334,6376.0,0,0,4,45.1,"B,C,W",1
6050,5106,5107,10088.0,0,0,5,38.6,"B,C,W",1
5813,1407,1561,6129.0,0,0,5,42.1,"B,C,W",1
5800,1220,1561,6106.0,0,0,5,34.2,"B,C,W",1
5799,4875,4874,10033.0,0,0,5,42.4,"B,C,W",1
5798,4874,1319,7282.0,0,0,5,39.0,"B,C,W",1
5797,2148,2896,7281.0,0,0,5,44.8,"B,C,W",1
5796,4873,2896,10032.0,0,0,5,44.0,"B,C,W",1
5597,1611,1615,5901.0,0,0,5,42.7,"B,C,W",1
5596,4722,1615,5900.0,0,0,4,46.5,"B,C,W",1
5595,4722,3685,5899.0,0,0,3,61.7,"B,C,W",1
5594,589,4722,5898.0,0,0,3,59.9,"B,C,W",1
5330,4574,4573,5618.0,0,1,1,100.6,"B,C,W",1
5329,4570,4576,5617.0,0,1,1,93.9,"B,C,W",1
5328,4576,4574,5616.0,0,1,1,91.8,"B,C,W",1
5327,4568,4575,5615.0,0,0,2,72.7,"B,C,W",1
5326,4575,4242,5614.0,0,0,2,74.2,"B,C,W",1
5316,2759,4570,5604.0,0,1,1,86.4,"B,C,W",1
5246,54,4521,9994.0,0,0,3,57.2,"B,C,W",0
5207,4475,3801,7706.0,0,0,3,58.1,"B,C,W",0
5192,4371,4450,5475.0,0,0,2,66.2,"B,C,W",1
5039,1019,1665,5314.0,0,0,4,45.2,"B,C,W",1
5038,4334,1019,5313.0,0,0,5,37.9,"B,C,W",1
4982,2264,2479,5249.0,0,0,5,42.4,"B,C,W",0
4981,2479,2263,5248.0,0,0,4,53.7,"B,C,W",1
4979,1506,3286,5246.0,0,0,3,60.4,"B,C,W",1
4948,4300,785,5215.0,0,0,4,45.05,"B,C,W",1
4940,1271,924,5204.0,0,0,3,63.4,"B,C,W",1
4938,1190,1845,5202.0,0,0,3,63.4,"B,C,W",1
4919,1702,4289,5183.0,0,1,1,83.2,"B,C,W",1
4832,4242,4124,5091.0,0,0,2,70.5,"B,C,W",1
4738,4135,4136,9943.0,0,0,4,53.25,"B,C,W",1
4736,3824,3831,4995.0,0,0,4,45.9,"B,C,W",1
4735,3831,4133,9942.0,0,0,4,54.3,"B,C,W",1
4734,4132,3824,4993.0,0,0,4,54.5,"B,C,W",1
4733,4132,3810,4992.0,0,0,4,48.7,"B,C,W",1
4732,4131,4132,4991.0,0,0,4,54.0,"B,C,W",1
4731,3810,3808,4990.0,0,0,3,56.8,"B,C,W",1
4730,4130,4125,4989.0,0,0,2,79.4,"B,C,W",1
4729,3805,4130,4988.0,0,0,2,67.7,"B,C,W",1
4721,4123,4124,4980.0,0,0,3,60.5,"B,C,W",1
4720,3816,4122,4979.0,0,0,4,54.35,"B,C,W",1
4719,4122,4123,4978.0,0,0,3,56.3,"B,C,W",1
4505,2519,3932,4753.0,0,0,4,45.75,"B,C,W",1
4504,3930,3931,7214.0,0,0,4,50.9,"B,C,W",1
4422,3830,3831,4668.0,0,0,3,57.8,"B,C,W",0
4416,3824,3825,4662.0,0,0,2,69.3,"B,C,W",1
4415,3811,3823,4661.0,0,0,3,63.3,"B,C,W",1
4414,3822,3819,9899.0,0,0,4,51.8,"B,C,W",1
4413,3819,3821,9898.0,0,0,4,52.2,"B,C,W",1
4412,3819,3820,9897.0,0,0,4,53.1,"B,C,W",1
4411,3817,3818,9896.0,0,0,4,49.3,"B,C,W",1
4410,3815,3816,9895.0,0,0,5,38.0,"B,C,W",1
4409,3814,3811,9894.0,0,0,4,45.7,"B,C,W",1
