NO,FROMNODENO,TONODENO,ID,DXD,FLAG,TJL,FS,TRAFFIC,flag
4408,3805,3811,4654.0,0,0,4,51.8,"B,C,W",1
4407,3813,3805,4653.0,0,0,4,48.8,"B,C,W",1
4406,2852,3813,4652.0,0,0,4,51.3,"B,C,W",1
4405,3812,3813,4651.0,0,0,5,42.9,"B,C,W",1
4404,3811,3808,4650.0,0,0,5,43.3,"B,C,W",1
4403,3809,3810,7557.0,0,0,3,60.0,"B,C,W",0
4402,3808,3804,4648.0,0,0,4,52.05,"B,C,W",1
4401,3806,3807,4647.0,0,0,4,50.5,"B,C,W",1
4400,3804,2852,4646.0,0,0,4,45.0,"B,C,W",1
4399,3804,3805,4645.0,0,0,4,45.6,"B,C,W",1
4398,3803,3804,4644.0,0,0,3,59.9,"B,C,W",1
4397,2853,2760,4643.0,0,0,4,48.8,"B,C,W",1
4396,3802,2853,4642.0,0,0,4,48.8,"B,C,W",0
4395,3800,3801,9893.0,0,0,3,55.7,"B,C,W",0
4387,1189,2196,4633.0,0,1,1,81.9,"B,C,W",1
4264,654,3684,4499.0,0,1,1,90.6,"B,C,W",1
4180,3613,3614,4413.0,0,0,5,35.4,"B,C,W",0
4064,3548,3269,4287.0,0,0,4,53.45,"B,C,W",1
3981,3403,3001,4200.0,0,0,5,39.9,"B,C,W",1
3596,3286,3287,3795.0,0,0,2,66.6,"B,C,W",1
3548,3212,3236,9829.0,0,0,4,53.3,"B,C,W",0
3342,3002,3003,9817.0,0,0,3,55.5,"B,C,W",1
3341,3001,3002,3522.0,0,0,3,50.1,"B,C,W",1
3340,2417,3000,9816.0,0,0,3,57.1,"B,C,W",1
3302,2198,2197,3483.0,0,1,1,68.4,"B,C,W",1
3299,2197,652,3480.0,0,1,1,66.3,"B,C,W",1
3298,2198,1702,3479.0,0,1,1,80.9,"B,C,W",1
3297,2976,2844,9810.0,0,0,4,54.0,"B,C,W",1
3296,1272,2975,3477.0,0,0,5,36.8,"B,C,W",1
3294,1953,2172,3475.0,0,0,5,40.85,"B,C,W",1
3293,1338,2975,3474.0,0,0,4,45.6,"B,C,W",1
3261,470,2264,3435.0,0,0,3,58.3,"B,C,W",0
3258,759,1143,3432.0,0,0,5,41.85,"B,C,W",1
3179,2936,1952,9801.0,0,0,5,44.4,"B,C,W",1
3178,1665,2188,3343.0,0,0,4,45.55,"B,C,W",1
3159,2927,2759,3315.0,0,1,1,86.6,"B,C,W",1
3158,2762,2927,3314.0,0,1,1,89.3,"B,C,W",1
3157,2926,2762,3313.0,0,1,1,89.6,"B,C,W",0
3097,2896,2897,15040.0,0,0,4,47.8,"B,C,W",1
3071,2515,2118,3216.0,0,0,4,49.2,"B,C,W",1
3059,2504,2146,3203.0,0,0,5,33.8,"B,C,W",1
3058,2504,936,3202.0,0,0,5,32.0,"B,C,W",1
3047,1953,1601,3191.0,0,0,5,36.35,"B,C,W",1
3046,1953,758,3190.0,0,0,5,37.1,"B,C,W",1
3017,2852,2853,3158.0,0,0,4,53.9,"B,C,W",1
2991,2844,2514,3130.0,0,0,5,36.0,"B,C,W",1
2990,2844,2118,3129.0,0,0,4,45.3,"B,C,W",1
2917,1701,2825,3051.0,0,0,4,50.1,"B,C,W",1
2895,1601,2190,3028.0,0,0,5,33.3,"B,C,W",1
2830,2790,2791,9781.0,0,0,5,40.2,"B,C,W",1
2784,2763,2697,2911.0,0,0,5,37.95,"B,C,W",1
2783,2697,120,2910.0,0,0,5,39.45,"B,C,W",1
2782,2697,590,2909.0,0,0,5,44.4,"B,C,W",1
2778,2760,2761,2905.0,0,0,3,57.4,"B,C,W",1
2775,2758,1206,9777.0,0,0,5,32.6,"B,C,W",1
2774,2757,1338,9776.0,0,0,5,42.75,"B,C,W",1
2773,2756,716,2900.0,0,0,5,38.6,"B,C,W",1
2736,1082,2188,2863.0,0,0,4,45.9,"B,C,W",1
2717,2725,2726,9766.0,0,0,4,46.7,"B,C,W",1
2678,120,1919,2801.0,0,0,5,38.3,"B,C,W",1
2677,120,2383,2800.0,0,0,5,44.8,"B,C,W",1
2663,119,2697,2786.0,0,0,5,38.7,"B,C,W",1
2662,119,2516,2785.0,0,0,5,44.0,"B,C,W",1
2641,927,1803,2764.0,0,0,3,64.1,"B,C,W",1
2630,2454,1504,2753.0,0,0,3,56.2,"B,C,W",1
2528,285,1446,2646.0,0,1,1,81.3,"B,C,W",0
2380,1505,2515,2490.0,0,0,3,58.6,"B,C,W",1
2365,1110,1506,2475.0,0,0,5,40.2,"B,C,W",1
2364,1110,2454,2474.0,0,0,5,32.5,"B,C,W",1
2331,1613,2530,2431.0,0,0,5,38.7,"B,C,W",1
2330,1613,2529,2430.0,0,0,5,44.7,"B,C,W",1
2324,2522,2148,9735.0,0,0,5,44.4,"B,C,W",1
2323,2520,2521,9734.0,0,0,5,36.0,"B,C,W",0
2322,926,2519,2422.0,0,0,4,54.0,"B,C,W",1
2312,2514,2515,2412.0,0,0,5,37.1,"B,C,W",1
2311,2514,1763,2411.0,0,0,5,35.1,"B,C,W",1
2290,165,2504,2390.0,0,0,5,34.25,"B,C,W",1
2248,1612,2384,2344.0,0,0,5,43.6,"B,C,W",1
2247,1612,2479,2343.0,0,0,4,50.6,"B,C,W",1
2210,2453,2454,2303.0,0,0,5,44.0,"B,C,W",1
2188,2435,2436,9719.0,0,0,5,34.9,"B,C,W",1
2182,1285,1336,2273.0,0,0,4,45.6,"B,C,W",1
2181,1285,1219,2272.0,0,0,5,38.2,"B,C,W",1
2164,2416,2419,9716.0,0,0,5,30.35,"B,C,W",0
2163,2418,1695,9715.0,0,0,5,34.15,"B,C,W",1
2162,2416,2417,2252.0,0,0,5,39.85,"B,C,W",0
2134,2119,2402,9713.0,0,0,5,44.9,"B,C,W",1
2133,2401,1695,9712.0,0,0,5,33.4,"B,C,W",1
1988,2304,1207,9703.0,0,0,5,30.0,"B,C,W",1
1980,252,2298,9702.0,0,0,4,46.9,"B,C,W",1
1935,2264,1479,2017.0,0,0,5,37.3,"B,C,W",0
1883,2223,2224,9691.0,0,0,5,31.45,"B,C,W",1
1865,1063,2208,7155.0,0,0,4,48.3,"B,C,W",1
1864,1063,2207,9690.0,0,0,5,43.35,"B,C,W",1
1847,2196,654,1925.0,0,1,1,92.0,"B,C,W",1
1841,2188,2190,1919.0,0,0,5,34.6,"B,C,W",1
1840,2188,2189,15936.0,0,0,4,45.4,"B,C,W",1
1814,2172,2173,15935.0,0,0,4,48.5,"B,C,W",1
1808,1763,164,1885.0,0,0,3,59.4,"B,C,W",1
1780,2148,2149,9684.0,0,0,5,44.8,"B,C,W",1
1775,2146,937,1851.0,0,0,5,33.45,"B,C,W",1
1774,2146,1601,1850.0,0,0,5,37.85,"B,C,W",1
1773,2146,923,1849.0,0,0,5,38.5,"B,C,W",1
1765,1337,2140,9683.0,0,0,5,44.7,"B,C,W",1
1764,1337,1062,1840.0,0,0,5,38.2,"B,C,W",1
1744,2118,2119,1820.0,0,0,5,44.4,"B,C,W",1
1731,2111,1338,1807.0,0,0,4,45.4,"B,C,W",1
1641,1062,2025,9676.0,0,0,5,38.0,"B,C,W",1
1640,1062,1356,1714.0,0,0,5,33.5,"B,C,W",1
1555,1952,1953,1628.0,0,0,5,38.9,"B,C,W",1
1522,1918,1920,9662.0,0,0,5,36.45,"B,C,W",0
1521,1918,118,1590.0,0,0,5,39.15,"B,C,W",0
1520,1918,1919,1589.0,0,0,5,38.25,"B,C,W",0
1444,1845,1271,1508.0,0,0,2,69.1,"B,C,W",1
1436,1611,1835,1500.0,0,0,5,43.5,"B,C,W",1
1402,1803,1190,1465.0,0,0,3,64.1,"B,C,W",1
1401,1803,1219,1464.0,0,0,5,43.05,"B,C,W",1
1381,1018,903,1444.0,0,0,5,32.8,"B,C,W",0
1380,1018,916,1443.0,0,0,5,30.4,"B,C,W",0
1345,924,1763,1406.0,0,0,3,58.0,"B,C,W",1
1279,55,1701,1333.0,0,0,4,53.9,"B,C,W",1
1274,1693,1696,1327.0,0,0,5,31.8,"B,C,W",1
1273,1693,1695,1326.0,0,0,5,38.0,"B,C,W",1
1272,1693,1694,1325.0,0,0,5,36.0,"B,C,W",1
1234,1665,251,1287.0,0,0,5,42.5,"B,C,W",1
1180,1614,1615,1231.0,0,0,4,46.2,"B,C,W",0
1165,1600,1601,9632.0,0,0,5,40.9,"B,C,W",0
1164,1598,923,1215.0,0,0,5,39.5,"B,C,W",0
1163,1598,1599,1214.0,0,0,5,44.6,"B,C,W",0
1130,1561,1562,9623.0,0,0,5,30.6,"B,C,W",1
1082,166,1506,1128.0,0,0,3,61.3,"B,C,W",1
1081,1504,1505,1127.0,0,0,3,64.2,"B,C,W",1
949,716,1356,987.0,0,0,5,41.7,"B,C,W",1
942,1350,903,9603.0,0,0,4,48.8,"B,C,W",1
927,1336,1338,964.0,0,0,4,45.8,"B,C,W",1
926,1336,1337,963.0,0,0,5,43.9,"B,C,W",1
909,1319,1063,946.0,0,0,5,41.6,"B,C,W",1
908,1319,785,945.0,0,0,5,41.1,"B,C,W",1
904,1313,1314,9601.0,0,0,4,52.05,"B,C,W",1
884,1190,1285,919.0,0,0,4,46.1,"B,C,W",1
880,1280,1281,915.0,0,1,1,81.2,"B,C,W",1
829,1219,1220,862.0,0,0,5,41.0,"B,C,W",1
818,1206,1207,851.0,0,0,5,30.0,"B,C,W",1
806,1142,1190,839.0,0,0,5,40.8,"B,C,W",1
803,1188,1189,836.0,0,1,1,92.5,"B,C,W",1
768,1143,1144,800.0,0,0,5,38.9,"B,C,W",1
767,759,1142,799.0,0,0,5,38.3,"B,C,W",1
737,1111,1112,9590.0,0,0,4,53.3,"B,C,W",0
736,1109,1110,766.0,0,0,5,30.0,"B,C,W",1
735,1107,1108,765.0,0,0,4,45.6,"B,C,W",0
713,937,1082,738.0,0,0,5,34.0,"B,C,W",1
698,786,1063,723.0,0,0,4,45.1,"B,C,W",1
697,786,1062,722.0,0,0,4,46.6,"B,C,W",1
665,917,1019,690.0,0,0,5,34.05,"B,C,W",0
664,917,1018,689.0,0,0,5,30.0,"B,C,W",0
601,936,252,625.0,0,0,5,36.9,"B,C,W",1
600,936,937,624.0,0,0,5,30.0,"B,C,W",1
593,653,927,617.0,0,0,2,69.9,"B,C,W",1
591,923,924,615.0,0,0,5,41.4,"B,C,W",1
590,923,165,614.0,0,0,5,39.95,"B,C,W",1
585,916,917,609.0,0,0,5,34.1,"B,C,W",0
584,916,251,608.0,0,0,5,37.5,"B,C,W",0
577,903,904,9581.0,0,0,4,48.5,"B,C,W",1
531,834,835,9575.0,0,0,5,39.15,"B,C,W",0
497,785,786,521.0,0,0,4,48.0,"B,C,W",1
478,758,759,501.0,0,0,5,38.95,"B,C,W",1
448,715,716,9572.0,0,0,5,31.2,"B,C,W",1
447,713,714,9571.0,0,0,5,30.0,"B,C,W",1
403,652,653,423.0,0,0,2,65.6,"B,C,W",1
278,56,450,13099.0,0,0,5,42.1,"B,C,W",1
175,286,287,12955.0,0,1,1,81.8,"B,C,W",1
174,284,285,183.0,0,1,1,77.7,"B,C,W",0
154,251,252,162.0,0,0,5,37.4,"B,C,W",1
101,164,166,105.0,0,0,3,60.4,"B,C,W",1
100,164,165,104.0,0,0,5,42.4,"B,C,W",1
72,118,120,75.0,0,0,5,40.9,"B,C,W",1
71,118,119,74.0,0,0,5,32.1,"B,C,W",1
32,54,55,32.0,0,0,4,51.45,"B,C,W",0
15296,1944,7670,17224.5,0,0,2,83.7,"B,C,W",1
14403,2763,3932,16020.5,0,0,5,37.95,"B,C,W",1
14360,7498,3003,15985.5,0,0,3,55.5,"B,C,W",1
14359,3002,1696,15984.5,0,0,5,31.8,"B,C,W",1
14358,1696,3003,15983.5,0,0,5,36.0,"B,C,W",1
14321,4298,7275,65.5,0,0,5,36.7,"B,C,W",1
14093,4875,7272,15708.5,0,0,5,42.4,"B,C,W",1
14092,10126,2208,15707.5,0,0,4,54.0,"B,C,W",1
14008,4334,9820,15621.5,0,0,4,46.1,"B,C,W",1
13527,284,286,15149.5,0,1,1,81.8,"B,C,W",0
13526,7039,286,15148.5,0,0,4,46.7,"B,C,W",0
13525,1864,1445,15147.5,0,0,4,48.6,"B,C,W",1
13524,2849,9849,15146.5,0,0,5,43.5,"B,C,W",0
13445,9819,9820,15058.5,0,0,4,46.1,"B,C,W",0
13425,4300,2530,15070.5,0,0,5,44.7,"B,C,W",1
13424,2790,7274,15069.5,0,0,5,41.5,"B,C,W",1
13421,9818,9817,15036.5,0,0,5,35.7,"B,C,W",1
13420,9817,9816,15035.5,0,0,5,35.7,"B,C,W",1
13419,9816,7257,10481.5,0,0,5,38.6,"B,C,W",1
13418,9815,7255,10487.5,0,0,4,54.5,"B,C,W",0
13411,8296,1314,15028.5,0,0,4,52.6,"B,C,W",1
13410,1313,5114,15027.5,0,0,5,42.6,"B,C,W",1
13409,9813,1281,15026.5,0,1,1,82.8,"B,C,W",1
13408,6014,9813,15025.5,0,1,1,82.8,"B,C,W",1
13329,9773,9774,14941.5,0,0,5,35.0,"B,C,W",0
13328,9772,9773,14940.5,0,0,5,35.0,"B,C,W",0
13327,9337,9772,14939.5,0,0,5,35.0,"B,C,W",0
13214,9713,3611,14830.5,0,0,5,40.8,"B,C,W",1
12776,1107,1109,14386.5,0,0,5,32.9,"B,C,W",0
12775,2453,1108,14385.5,0,0,5,41.0,"B,C,W",1
12774,9432,1109,14384.5,0,0,5,30.0,"B,C,W",1
12773,1109,2453,14383.5,0,0,5,31.3,"B,C,W",1
12626,8231,3802,14237.5,0,0,4,50.4,"B,C,W",0
12625,9338,3802,14236.5,0,0,5,35.0,"B,C,W",0
12624,9337,9338,14235.5,0,0,5,35.0,"B,C,W",0
12623,8231,9337,14234.5,0,0,5,35.0,"B,C,W",0
12437,9197,5957,14049.5,0,0,4,45.9,"B,C,W",0
12436,9197,9196,14048.5,0,0,5,35.0,"B,C,W",0
12435,3803,9196,14047.5,0,0,4,51.2,"B,C,W",1
12434,3801,3803,14046.5,0,0,3,64.1,"B,C,W",0
12433,9195,9197,14045.5,0,0,5,42.0,"B,C,W",0
12432,3806,5957,14044.5,0,0,4,47.25,"B,C,W",1
12431,9196,3806,14043.5,0,0,5,39.3,"B,C,W",1
12430,4131,3823,14042.5,0,0,3,62.8,"B,C,W",1
12429,3823,7664,14041.5,0,3,4,50.1,"B,C,W",1
12427,9193,9195,14039.5,0,0,5,42.0,"B,C,W",0
12423,9190,9191,14035.5,0,0,5,37.3,"B,C,W",0
12422,3809,9190,14034.5,0,0,5,39.9,"B,C,W",0
12420,7684,8406,14032.5,0,0,5,41.5,"B,C,W",1
12419,7760,7684,14031.5,0,0,5,44.0,"B,C,W",0
12407,9179,9180,14019.5,0,0,5,41.4,"B,C,W",0
12406,7758,9180,14018.5,0,0,4,47.0,"B,C,W",0
12405,9180,7759,14017.5,0,0,5,44.85,"B,C,W",0
12404,7774,8229,14016.5,0,0,4,47.2,"B,C,W",1
12403,9179,8229,14015.5,0,0,5,38.7,"B,C,W",0
12401,7758,9177,14013.5,0,0,4,47.0,"B,C,W",0
12399,7758,7764,11947.5,0,0,5,32.1,"B,C,W",0
12398,9169,3813,14011.5,0,0,5,37.3,"B,C,W",0
12397,9168,7660,14009.5,0,0,5,37.0,"B,C,W",0
12396,9174,7660,14008.5,0,0,5,43.9,"B,C,W",1
12386,9168,9169,13996.5,0,0,5,35.8,"B,C,W",0
11947,8231,8857,13533.5,0,0,5,44.2,"B,C,W",0
11824,8780,8783,13388.5,0,0,4,45.3,"B,C,W",1
11812,8784,7659,13377.5,0,0,4,46.3,"B,C,W",0
11811,8782,7661,13376.5,0,0,5,43.3,"B,C,W",0
11809,8781,7671,13374.5,0,0,4,45.3,"B,C,W",1
11808,7671,8783,13373.5,0,0,4,45.3,"B,C,W",1
11807,8783,7774,13372.5,0,0,4,45.1,"B,C,W",1
11582,8706,3931,13158.5,0,0,4,47.8,"B,C,W",1
11581,759,8560,13157.5,0,0,5,35.4,"B,C,W",1
11580,1143,8705,13156.5,0,0,5,38.3,"B,C,W",1
11579,5115,8705,13155.5,0,0,4,48.3,"B,C,W",1
11578,8705,5112,13154.5,0,0,4,45.4,"B,C,W",1
11555,8307,8653,9604.5,0,0,4,54.6,"B,C,W",0
11552,1865,3613,13120.5,0,0,5,41.1,"B,C,W",0
11469,8653,7057,11780.5,0,0,4,53.1,"B,C,W",0
11320,5111,2189,12843.5,0,0,5,40.8,"B,C,W",1
11319,8560,5111,12842.5,0,0,5,41.6,"B,C,W",1
11318,2172,8560,12841.5,0,0,5,38.0,"B,C,W",1
11317,5110,1143,12840.5,0,0,5,35.4,"B,C,W",1
11136,1693,1506,12627.5,0,0,5,38.7,"B,C,W",1
11056,2401,2119,12510.5,0,0,5,38.3,"B,C,W",1
11049,8406,4136,12499.5,0,0,5,39.5,"B,C,W",1
11042,7762,4135,11646.5,0,0,5,37.6,"B,C,W",1
11041,7683,8406,11648.5,0,0,5,37.4,"B,C,W",0
11035,7462,7458,11022.5,0,0,5,39.7,"B,C,W",1
11034,7461,2224,11025.5,0,0,5,31.25,"B,C,W",1
11033,2223,7465,11028.5,0,0,4,54.2,"B,C,W",1
11030,7525,7532,11138.5,0,0,5,31.25,"B,C,W",1
10755,2976,2975,12183.5,0,0,4,48.7,"B,C,W",1
10743,2720,834,12161.5,0,0,5,40.95,"B,C,W",0
10742,1112,834,12160.5,0,0,4,49.15,"B,C,W",0
10741,1107,1111,12159.5,0,0,4,53.8,"B,C,W",0
10740,252,5733,12158.5,0,0,5,43.7,"B,C,W",1
10739,1082,2298,12157.5,0,0,4,46.1,"B,C,W",1
10738,1108,904,12156.5,0,0,4,46.1,"B,C,W",1
10737,8307,1350,12155.5,0,0,4,51.4,"B,C,W",0
10547,8232,3800,11957.5,0,0,4,45.0,"B,C,W",0
10546,8231,8232,11956.5,0,0,5,44.6,"B,C,W",0
10545,7665,7666,11955.5,0,0,5,43.8,"B,C,W",1
10543,5837,3809,11953.5,0,0,3,58.1,"B,C,W",0
10538,8229,7773,11948.5,0,0,4,52.5,"B,C,W",1
10170,8049,8050,9163.5,0,6,3,64.0,"B,C,W",1
10169,8050,3287,9162.5,0,10,3,62.4,"B,C,W",1
9954,2435,3236,11893.5,0,0,4,54.1,"B,C,W",1
9842,7057,7038,13034.5,0,0,4,53.4,"B,C,W",0
9733,7773,7762,11670.5,0,0,4,51.1,"B,C,W",1
9732,4133,7762,11669.5,0,0,4,54.4,"B,C,W",1
9731,3819,4133,11668.5,0,0,4,52.0,"B,C,W",1
9730,7760,5838,11667.5,0,0,5,37.9,"B,C,W",0
9719,7764,7755,11656.5,0,0,5,42.3,"B,C,W",0
9718,7760,7764,11655.5,0,0,5,38.6,"B,C,W",0
9716,7759,7761,11653.5,0,0,5,42.45,"B,C,W",0
9715,7762,7761,11652.5,0,0,5,34.9,"B,C,W",1
9714,7761,4136,11651.5,0,0,5,40.1,"B,C,W",1
9713,7759,7760,11649.5,0,0,5,36.1,"B,C,W",0
9712,7757,7758,11647.5,0,0,5,31.0,"B,C,W",0
9516,3814,3816,11448.5,0,0,4,49.1,"B,C,W",1
9514,3814,4129,11446.5,0,0,4,46.8,"B,C,W",1
9513,3822,4131,11445.5,0,0,4,51.3,"B,C,W",1
9512,7669,3821,11444.5,0,0,4,54.1,"B,C,W",1
9511,3816,7669,11443.5,0,0,4,48.4,"B,C,W",1
9510,3815,7672,11442.5,0,0,5,43.9,"B,C,W",1
9509,3817,3820,11441.5,0,0,4,54.6,"B,C,W",1
9508,7662,3818,11440.5,0,0,4,50.7,"B,C,W",1
9507,7672,7662,11439.5,0,0,4,47.4,"B,C,W",1
9506,7672,7659,11438.5,0,0,5,39.4,"B,C,W",1
9505,7671,3817,11437.5,0,0,4,47.3,"B,C,W",1
9504,7663,7671,11436.5,0,0,4,51.6,"B,C,W",1
9503,7661,7663,11435.5,0,0,4,54.6,"B,C,W",1
9502,7659,7661,11434.5,0,0,4,49.3,"B,C,W",1
9501,7670,4125,11433.5,0,0,2,88.4,"B,C,W",1
9500,7668,3815,11432.5,0,0,5,39.1,"B,C,W",1
9499,7668,7662,11431.5,0,0,5,43.0,"B,C,W",1
9498,7667,3818,11430.5,0,0,5,39.4,"B,C,W",1
9497,3821,7667,11429.5,0,0,5,42.2,"B,C,W",1
9496,7669,7668,11428.5,0,0,5,44.2,"B,C,W",1
9495,7666,7669,11427.5,0,0,5,41.4,"B,C,W",1
9494,7664,3821,11426.5,0,0,4,48.1,"B,C,W",1
9493,7667,7668,11425.5,0,0,5,39.6,"B,C,W",1
9492,3820,7667,11424.5,0,0,5,44.8,"B,C,W",1
9491,7666,3814,11423.5,0,0,4,48.0,"B,C,W",1
9490,7664,7665,11422.5,0,0,5,44.7,"B,C,W",1
9489,3822,7664,11421.5,0,0,4,48.2,"B,C,W",1
9488,3818,7663,11420.5,0,0,5,39.1,"B,C,W",1
9487,7662,7661,11419.5,0,0,4,47.5,"B,C,W",1
9486,7660,7659,11418.5,0,0,4,53.8,"B,C,W",1
9242,7534,2726,11170.5,0,0,5,38.0,"B,C,W",0
9241,7523,7534,11169.5,0,0,5,33.3,"B,C,W",0
9237,7522,1701,11165.5,0,0,5,42.7,"B,C,W",0
9236,2725,3403,11164.5,0,0,4,46.5,"B,C,W",1
9235,7519,2726,11163.5,0,0,4,50.8,"B,C,W",1
9234,7532,7519,11162.5,0,0,4,53.9,"B,C,W",1
9233,2825,7532,11161.5,0,0,4,52.7,"B,C,W",1
9232,4521,5947,11160.5,0,0,3,55.05,"B,C,W",0
9228,835,56,11156.5,0,0,5,40.3,"B,C,W",0
9225,7529,7528,11153.5,0,0,5,30.0,"B,C,W",0
9224,7528,835,11152.5,0,0,5,38.0,"B,C,W",0
9223,7527,296,11151.5,0,0,4,54.1,"B,C,W",0
9220,7516,7525,11148.5,0,0,5,30.0,"B,C,W",1
9219,7521,7525,11147.5,0,0,5,30.0,"B,C,W",1
9217,7523,2725,11145.5,0,0,5,30.0,"B,C,W",0
9216,7512,7523,11144.5,0,0,5,32.35,"B,C,W",0
9215,7522,7520,11143.5,0,0,4,45.8,"B,C,W",0
9214,7520,7521,11141.5,0,0,5,38.0,"B,C,W",0
9213,7516,7519,11140.5,0,0,5,39.0,"B,C,W",1
