FROMNODENO,TONODENO,ID,FLAG,TJL,FS,TRAFFIC
7670,1944,34448.0,0,2,83.7,"B,C,W"
3932,2763,32040.0,0,5,37.95,"B,C,W"
3003,7498,31970.0,0,3,55.5,"B,C,W"
1696,3002,31968.0,0,5,31.8,"B,C,W"
3003,1696,31966.0,0,5,36.0,"B,C,W"
7275,4298,130.0,0,5,36.7,"B,C,W"
7272,4875,31416.0,0,5,42.4,"B,C,W"
2208,10126,31414.0,0,4,54.0,"B,C,W"
9820,4334,31242.0,0,4,46.1,"B,C,W"
284,286,30298.0,1,1,81.8,"B,C,W"
7039,286,30296.0,0,4,46.7,"B,C,W"
1445,1864,30294.0,0,4,48.6,"B,C,W"
2849,9849,30292.0,0,5,43.5,"B,C,W"
9819,9820,30116.0,0,4,46.1,"B,C,W"
2530,4300,30140.0,0,5,44.7,"B,C,W"
7274,2790,30138.0,0,5,41.5,"B,C,W"
9817,9818,30072.0,0,5,35.7,"B,C,W"
9816,9817,30070.0,0,5,35.7,"B,C,W"
7257,9816,20962.0,0,5,38.6,"B,C,W"
9815,7255,20974.0,0,4,54.5,"B,C,W"
1314,8296,30056.0,0,4,52.6,"B,C,W"
5114,1313,30054.0,0,5,42.6,"B,C,W"
1281,9813,30052.0,1,1,82.8,"B,C,W"
9813,6014,30050.0,1,1,82.8,"B,C,W"
9773,9774,29882.0,0,5,35.0,"B,C,W"
9772,9773,29880.0,0,5,35.0,"B,C,W"
9337,9772,29878.0,0,5,35.0,"B,C,W"
3611,9713,29660.0,0,5,40.8,"B,C,W"
1107,1109,28772.0,0,5,32.9,"B,C,W"
1108,2453,28770.0,0,5,41.0,"B,C,W"
1109,9432,28768.0,0,5,30.0,"B,C,W"
2453,1109,28766.0,0,5,31.3,"B,C,W"
8231,3802,28474.0,0,4,50.4,"B,C,W"
9338,3802,28472.0,0,5,35.0,"B,C,W"
9337,9338,28470.0,0,5,35.0,"B,C,W"
8231,9337,28468.0,0,5,35.0,"B,C,W"
9197,5957,28098.0,0,4,45.9,"B,C,W"
9197,9196,28096.0,0,5,35.0,"B,C,W"
9196,3803,28094.0,0,4,51.2,"B,C,W"
3801,3803,28092.0,0,3,64.1,"B,C,W"
9195,9197,28090.0,0,5,42.0,"B,C,W"
5957,3806,28088.0,0,4,47.25,"B,C,W"
3806,9196,28086.0,0,5,39.3,"B,C,W"
3823,4131,28084.0,0,3,62.8,"B,C,W"
7664,3823,28082.0,3,4,50.1,"B,C,W"
9193,9195,28078.0,0,5,42.0,"B,C,W"
9190,9191,28070.0,0,5,37.3,"B,C,W"
3809,9190,28068.0,0,5,39.9,"B,C,W"
8406,7684,28064.0,0,5,41.5,"B,C,W"
7760,7684,28062.0,0,5,44.0,"B,C,W"
9179,9180,28038.0,0,5,41.4,"B,C,W"
7758,9180,28036.0,0,4,47.0,"B,C,W"
9180,7759,28034.0,0,5,44.85,"B,C,W"
8229,7774,28032.0,0,4,47.2,"B,C,W"
9179,8229,28030.0,0,5,38.7,"B,C,W"
7758,9177,28026.0,0,4,47.0,"B,C,W"
7758,7764,23894.0,0,5,32.1,"B,C,W"
9169,3813,28022.0,0,5,37.3,"B,C,W"
9168,7660,28018.0,0,5,37.0,"B,C,W"
7660,9174,28016.0,0,5,43.9,"B,C,W"
9168,9169,27992.0,0,5,35.8,"B,C,W"
8231,8857,27066.0,0,5,44.2,"B,C,W"
8783,8780,26776.0,0,4,45.3,"B,C,W"
8784,7659,26754.0,0,4,46.3,"B,C,W"
8782,7661,26752.0,0,5,43.3,"B,C,W"
7671,8781,26748.0,0,4,45.3,"B,C,W"
8783,7671,26746.0,0,4,45.3,"B,C,W"
7774,8783,26744.0,0,4,45.1,"B,C,W"
3931,8706,26316.0,0,4,47.8,"B,C,W"
8560,759,26314.0,0,5,35.4,"B,C,W"
8705,1143,26312.0,0,5,38.3,"B,C,W"
8705,5115,26310.0,0,4,48.3,"B,C,W"
5112,8705,26308.0,0,4,45.4,"B,C,W"
8307,8653,19208.0,0,4,54.6,"B,C,W"
1865,3613,26240.0,0,5,41.1,"B,C,W"
8653,7057,23560.0,0,4,53.1,"B,C,W"
2189,5111,25686.0,0,5,40.8,"B,C,W"
5111,8560,25684.0,0,5,41.6,"B,C,W"
8560,2172,25682.0,0,5,38.0,"B,C,W"
1143,5110,25680.0,0,5,35.4,"B,C,W"
1506,1693,25254.0,0,5,38.7,"B,C,W"
2119,2401,25020.0,0,5,38.3,"B,C,W"
4136,8406,24998.0,0,5,39.5,"B,C,W"
4135,7762,23292.0,0,5,37.6,"B,C,W"
7683,8406,23296.0,0,5,37.4,"B,C,W"
7458,7462,22044.0,0,5,39.7,"B,C,W"
2224,7461,22050.0,0,5,31.25,"B,C,W"
7465,2223,22056.0,0,4,54.2,"B,C,W"
7532,7525,22276.0,0,5,31.25,"B,C,W"
2975,2976,24366.0,0,4,48.7,"B,C,W"
2720,834,24322.0,0,5,40.95,"B,C,W"
1112,834,24320.0,0,4,49.15,"B,C,W"
1107,1111,24318.0,0,4,53.8,"B,C,W"
5733,252,24316.0,0,5,43.7,"B,C,W"
2298,1082,24314.0,0,4,46.1,"B,C,W"
904,1108,24312.0,0,4,46.1,"B,C,W"
8307,1350,24310.0,0,4,51.4,"B,C,W"
8232,3800,23914.0,0,4,45.0,"B,C,W"
8231,8232,23912.0,0,5,44.6,"B,C,W"
7666,7665,23910.0,0,5,43.8,"B,C,W"
5837,3809,23906.0,0,3,58.1,"B,C,W"
7773,8229,23896.0,0,4,52.5,"B,C,W"
8050,8049,18326.0,6,3,64.0,"B,C,W"
3287,8050,18324.0,10,3,62.4,"B,C,W"
3236,2435,23786.0,0,4,54.1,"B,C,W"
7057,7038,26068.0,0,4,53.4,"B,C,W"
7762,7773,23340.0,0,4,51.1,"B,C,W"
7762,4133,23338.0,0,4,54.4,"B,C,W"
4133,3819,23336.0,0,4,52.0,"B,C,W"
7760,5838,23334.0,0,5,37.9,"B,C,W"
7764,7755,23312.0,0,5,42.3,"B,C,W"
7760,7764,23310.0,0,5,38.6,"B,C,W"
7759,7761,23306.0,0,5,42.45,"B,C,W"
7761,7762,23304.0,0,5,34.9,"B,C,W"
4136,7761,23302.0,0,5,40.1,"B,C,W"
7759,7760,23298.0,0,5,36.1,"B,C,W"
7757,7758,23294.0,0,5,31.0,"B,C,W"
3816,3814,22896.0,0,4,49.1,"B,C,W"
4129,3814,22892.0,0,4,46.8,"B,C,W"
4131,3822,22890.0,0,4,51.3,"B,C,W"
3821,7669,22888.0,0,4,54.1,"B,C,W"
7669,3816,22886.0,0,4,48.4,"B,C,W"
7672,3815,22884.0,0,5,43.9,"B,C,W"
3820,3817,22882.0,0,4,54.6,"B,C,W"
3818,7662,22880.0,0,4,50.7,"B,C,W"
7662,7672,22878.0,0,4,47.4,"B,C,W"
7659,7672,22876.0,0,5,39.4,"B,C,W"
3817,7671,22874.0,0,4,47.3,"B,C,W"
7671,7663,22872.0,0,4,51.6,"B,C,W"
7663,7661,22870.0,0,4,54.6,"B,C,W"
7661,7659,22868.0,0,4,49.3,"B,C,W"
4125,7670,22866.0,0,2,88.4,"B,C,W"
3815,7668,22864.0,0,5,39.1,"B,C,W"
7662,7668,22862.0,0,5,43.0,"B,C,W"
3818,7667,22860.0,0,5,39.4,"B,C,W"
7667,3821,22858.0,0,5,42.2,"B,C,W"
7668,7669,22856.0,0,5,44.2,"B,C,W"
7669,7666,22854.0,0,5,41.4,"B,C,W"
3821,7664,22852.0,0,4,48.1,"B,C,W"
7668,7667,22850.0,0,5,39.6,"B,C,W"
7667,3820,22848.0,0,5,44.8,"B,C,W"
3814,7666,22846.0,0,4,48.0,"B,C,W"
7665,7664,22844.0,0,5,44.7,"B,C,W"
7664,3822,22842.0,0,4,48.2,"B,C,W"
7663,3818,22840.0,0,5,39.1,"B,C,W"
7661,7662,22838.0,0,4,47.5,"B,C,W"
7659,7660,22836.0,0,4,53.8,"B,C,W"
7534,2726,22340.0,0,5,38.0,"B,C,W"
7523,7534,22338.0,0,5,33.3,"B,C,W"
7522,1701,22330.0,0,5,42.7,"B,C,W"
3403,2725,22328.0,0,4,46.5,"B,C,W"
2726,7519,22326.0,0,4,50.8,"B,C,W"
7519,7532,22324.0,0,4,53.9,"B,C,W"
7532,2825,22322.0,0,4,52.7,"B,C,W"
4521,5947,22320.0,0,3,55.05,"B,C,W"
835,56,22312.0,0,5,40.3,"B,C,W"
7529,7528,22306.0,0,5,30.0,"B,C,W"
7528,835,22304.0,0,5,38.0,"B,C,W"
7527,296,22302.0,0,4,54.1,"B,C,W"
7525,7516,22296.0,0,5,30.0,"B,C,W"
7525,7521,22294.0,0,5,30.0,"B,C,W"
7523,2725,22290.0,0,5,30.0,"B,C,W"
7512,7523,22288.0,0,5,32.35,"B,C,W"
7522,7520,22286.0,0,4,45.8,"B,C,W"
7520,7521,22282.0,0,5,38.0,"B,C,W"
7519,7516,22280.0,0,5,39.0,"B,C,W"
7516,7517,22274.0,0,5,30.0,"B,C,W"
7498,2417,22264.0,0,3,55.0,"B,C,W"
7499,7500,22224.0,0,5,30.85,"B,C,W"
7498,7499,22222.0,0,5,33.4,"B,C,W"
2189,5108,22132.0,0,5,40.8,"B,C,W"
4334,5106,22128.0,0,5,44.3,"B,C,W"
1598,1600,22126.0,0,5,41.25,"B,C,W"
1951,2936,22124.0,0,5,44.2,"B,C,W"
2025,716,22122.0,0,5,34.0,"B,C,W"
2140,2756,22120.0,0,5,39.4,"B,C,W"
2756,2757,22118.0,0,5,44.6,"B,C,W"
7266,2758,22116.0,0,5,32.9,"B,C,W"
2756,7266,22114.0,0,5,34.35,"B,C,W"
1207,715,22112.0,0,5,31.8,"B,C,W"
7460,2418,22110.0,0,5,39.0,"B,C,W"
2436,7460,22108.0,0,4,50.8,"B,C,W"
2402,7472,22106.0,0,5,43.8,"B,C,W"
2416,2418,22104.0,0,5,35.0,"B,C,W"
2419,2435,22102.0,0,5,35.6,"B,C,W"
714,2435,22100.0,0,5,30.0,"B,C,W"
7469,713,22098.0,0,5,32.4,"B,C,W"
7463,7469,22096.0,0,5,30.55,"B,C,W"
1207,7463,22094.0,0,5,30.0,"B,C,W"
2436,7472,22092.0,0,5,41.0,"B,C,W"
7472,2223,22090.0,0,5,31.4,"B,C,W"
2224,7466,22088.0,0,5,33.95,"B,C,W"
7466,7470,22086.0,0,5,34.3,"B,C,W"
7470,1206,22084.0,0,5,34.45,"B,C,W"
7471,2304,22082.0,0,5,35.05,"B,C,W"
7463,7471,22080.0,0,5,33.5,"B,C,W"
2303,2304,22078.0,0,5,38.0,"B,C,W"
7468,7462,22076.0,0,5,32.25,"B,C,W"
7470,7468,22074.0,0,5,32.9,"B,C,W"
2402,7459,22072.0,0,3,63.4,"B,C,W"
7458,7469,22070.0,0,5,41.9,"B,C,W"
7461,7465,22068.0,0,4,53.8,"B,C,W"
7467,7461,22066.0,0,5,41.3,"B,C,W"
7468,7467,22064.0,0,5,39.3,"B,C,W"
7466,7467,22062.0,0,4,46.6,"B,C,W"
7464,7457,22060.0,0,4,50.7,"B,C,W"
7459,7460,22058.0,0,3,55.5,"B,C,W"
7464,7465,24962.0,0,4,48.9,"B,C,W"
714,7464,22054.0,0,4,52.9,"B,C,W"
7462,7463,22052.0,0,5,30.0,"B,C,W"
7461,7457,24964.0,0,5,30.0,"B,C,W"
7460,2419,22048.0,0,4,47.8,"B,C,W"
2401,7459,22046.0,0,3,58.5,"B,C,W"
7457,7458,24966.0,0,4,50.2,"B,C,W"
7457,713,22042.0,0,5,30.0,"B,C,W"
7275,1142,21108.0,0,4,50.6,"B,C,W"
2207,1337,21106.0,0,5,41.6,"B,C,W"
5116,2208,21104.0,0,4,48.8,"B,C,W"
1920,7274,21102.0,0,5,31.5,"B,C,W"
7271,1920,21100.0,0,4,45.0,"B,C,W"
2896,7271,21098.0,0,3,61.5,"B,C,W"
2791,1319,21096.0,0,5,44.65,"B,C,W"
4874,4873,21094.0,0,5,34.6,"B,C,W"
2520,2522,21088.0,0,5,39.6,"B,C,W"
2149,118,21086.0,0,5,40.6,"B,C,W"
2521,119,21084.0,0,5,35.45,"B,C,W"
1600,2936,21082.0,0,4,46.1,"B,C,W"
7273,1562,21080.0,0,4,45.4,"B,C,W"
7272,7273,21076.0,0,4,45.1,"B,C,W"
2025,2140,21074.0,0,5,44.8,"B,C,W"
7265,7269,21072.0,0,5,36.7,"B,C,W"
7268,2975,21070.0,0,4,54.0,"B,C,W"
2521,7270,21068.0,0,5,34.5,"B,C,W"
7271,2149,21066.0,0,4,54.2,"B,C,W"
2522,7270,21064.0,0,3,62.2,"B,C,W"
7270,2149,21062.0,0,4,55.8,"B,C,W"
7269,1206,21060.0,0,5,35.0,"B,C,W"
7265,2757,21058.0,0,5,44.2,"B,C,W"
7265,7267,21056.0,0,5,44.7,"B,C,W"
1219,5116,21054.0,0,4,46.3,"B,C,W"
2758,715,21052.0,0,5,30.0,"B,C,W"
7267,7268,21050.0,0,5,44.1,"B,C,W"
7265,7266,21048.0,0,5,34.0,"B,C,W"
4873,2791,21046.0,0,5,44.2,"B,C,W"
2207,5116,21044.0,0,5,35.6,"B,C,W"
7259,5107,20992.0,0,5,39.6,"B,C,W"
5113,7259,20990.0,0,3,56.2,"B,C,W"
7259,7257,20988.0,0,3,61.2,"B,C,W"
2189,5109,20972.0,0,5,34.9,"B,C,W"
5109,5106,20968.0,0,5,37.7,"B,C,W"
7257,7255,20964.0,0,4,48.0,"B,C,W"
7255,7256,20960.0,0,4,45.2,"B,C,W"
5961,7128,18036.0,0,5,31.9,"B,C,W"
2520,926,17816.0,0,5,44.0,"B,C,W"
7040,4371,17688.0,0,4,54.2,"B,C,W"
7038,7040,1960.0,0,4,54.0,"B,C,W"
1446,1280,15560.0,1,1,81.9,"B,C,W"
6014,1188,15558.0,1,1,89.1,"B,C,W"
4573,2561,15414.0,1,1,93.2,"B,C,W"
3807,3808,15410.0,0,4,54.0,"B,C,W"
2852,5957,15408.0,0,5,44.4,"B,C,W"
5188,3812,15406.0,0,4,45.5,"B,C,W"
5193,5189,12962.0,0,4,45.4,"B,C,W"
3831,4135,15116.0,0,4,46.9,"B,C,W"
1108,5733,20320.0,0,5,41.9,"B,C,W"
2853,5188,14702.0,0,5,39.1,"B,C,W"
165,2454,14588.0,0,5,39.95,"B,C,W"
3931,3932,14284.0,0,5,41.4,"B,C,W"
5188,5189,12958.0,0,5,40.9,"B,C,W"
2208,1220,12780.0,0,4,46.0,"B,C,W"
1336,5116,20180.0,0,4,53.8,"B,C,W"
1144,1142,12776.0,0,5,41.2,"B,C,W"
3931,5115,12774.0,0,5,44.2,"B,C,W"
1220,5115,12772.0,0,4,48.7,"B,C,W"
1144,5115,12770.0,0,5,44.1,"B,C,W"
5114,3930,12768.0,0,4,46.2,"B,C,W"
5108,5113,12766.0,0,5,40.45,"B,C,W"
5113,5114,12764.0,0,5,44.5,"B,C,W"
5112,5113,12762.0,0,4,46.1,"B,C,W"
5112,3930,12760.0,0,3,55.3,"B,C,W"
5110,5112,12758.0,0,5,34.1,"B,C,W"
5111,5110,12756.0,0,5,35.7,"B,C,W"
5108,5110,12754.0,0,5,43.6,"B,C,W"
2173,4334,12752.0,0,4,45.1,"B,C,W"
5106,5107,20176.0,0,5,38.6,"B,C,W"
1407,1561,12258.0,0,5,42.1,"B,C,W"
1220,1561,12212.0,0,5,34.2,"B,C,W"
4875,4874,20066.0,0,5,42.4,"B,C,W"
4874,1319,14564.0,0,5,39.0,"B,C,W"
2148,2896,14562.0,0,5,44.8,"B,C,W"
4873,2896,20064.0,0,5,44.0,"B,C,W"
1611,1615,11802.0,0,5,42.7,"B,C,W"
4722,1615,11800.0,0,4,46.5,"B,C,W"
4722,3685,11798.0,0,3,61.7,"B,C,W"
589,4722,11796.0,0,3,59.9,"B,C,W"
4574,4573,11236.0,1,1,100.6,"B,C,W"
4570,4576,11234.0,1,1,93.9,"B,C,W"
4576,4574,11232.0,1,1,91.8,"B,C,W"
4568,4575,11230.0,0,2,72.7,"B,C,W"
4575,4242,11228.0,0,2,74.2,"B,C,W"
2759,4570,11208.0,1,1,86.4,"B,C,W"
54,4521,19988.0,0,3,57.2,"B,C,W"
4475,3801,15412.0,0,3,58.1,"B,C,W"
4371,4450,10950.0,0,2,66.2,"B,C,W"
1019,1665,10628.0,0,4,45.2,"B,C,W"
4334,1019,10626.0,0,5,37.9,"B,C,W"
2264,2479,10498.0,0,5,42.4,"B,C,W"
2479,2263,10496.0,0,4,53.7,"B,C,W"
1506,3286,10492.0,0,3,60.4,"B,C,W"
4300,785,10430.0,0,4,45.05,"B,C,W"
1271,924,10408.0,0,3,63.4,"B,C,W"
1190,1845,10404.0,0,3,63.4,"B,C,W"
1702,4289,10366.0,1,1,83.2,"B,C,W"
4242,4124,10182.0,0,2,70.5,"B,C,W"
4135,4136,19886.0,0,4,53.25,"B,C,W"
3824,3831,9990.0,0,4,45.9,"B,C,W"
3831,4133,19884.0,0,4,54.3,"B,C,W"
4132,3824,9986.0,0,4,54.5,"B,C,W"
4132,3810,9984.0,0,4,48.7,"B,C,W"
4131,4132,9982.0,0,4,54.0,"B,C,W"
3810,3808,9980.0,0,3,56.8,"B,C,W"
4130,4125,9978.0,0,2,79.4,"B,C,W"
3805,4130,9976.0,0,2,67.7,"B,C,W"
4123,4124,9960.0,0,3,60.5,"B,C,W"
3816,4122,9958.0,0,4,54.35,"B,C,W"
4122,4123,9956.0,0,3,56.3,"B,C,W"
2519,3932,9506.0,0,4,45.75,"B,C,W"
3930,3931,14428.0,0,4,50.9,"B,C,W"
3830,3831,9336.0,0,3,57.8,"B,C,W"
3824,3825,9324.0,0,2,69.3,"B,C,W"
3811,3823,9322.0,0,3,63.3,"B,C,W"
3822,3819,19798.0,0,4,51.8,"B,C,W"
3819,3821,19796.0,0,4,52.2,"B,C,W"
3819,3820,19794.0,0,4,53.1,"B,C,W"
3817,3818,19792.0,0,4,49.3,"B,C,W"
3815,3816,19790.0,0,5,38.0,"B,C,W"
3814,3811,19788.0,0,4,45.7,"B,C,W"
3805,3811,9308.0,0,4,51.8,"B,C,W"
3813,3805,9306.0,0,4,48.8,"B,C,W"
2852,3813,9304.0,0,4,51.3,"B,C,W"
3812,3813,9302.0,0,5,42.9,"B,C,W"
3811,3808,9300.0,0,5,43.3,"B,C,W"
3809,3810,15114.0,0,3,60.0,"B,C,W"
3808,3804,9296.0,0,4,52.05,"B,C,W"
3806,3807,9294.0,0,4,50.5,"B,C,W"
3804,2852,9292.0,0,4,45.0,"B,C,W"
3804,3805,9290.0,0,4,45.6,"B,C,W"
3803,3804,9288.0,0,3,59.9,"B,C,W"
2853,2760,9286.0,0,4,48.8,"B,C,W"
3802,2853,9284.0,0,4,48.8,"B,C,W"
3800,3801,19786.0,0,3,55.7,"B,C,W"
1189,2196,9266.0,1,1,81.9,"B,C,W"
654,3684,8998.0,1,1,90.6,"B,C,W"
3613,3614,8826.0,0,5,35.4,"B,C,W"
3548,3269,8574.0,0,4,53.45,"B,C,W"
3403,3001,8400.0,0,5,39.9,"B,C,W"
3286,3287,7590.0,0,2,66.6,"B,C,W"
3212,3236,19658.0,0,4,53.3,"B,C,W"
3002,3003,19634.0,0,3,55.5,"B,C,W"
3001,3002,7044.0,0,3,50.1,"B,C,W"
2417,3000,19632.0,0,3,57.1,"B,C,W"
2198,2197,6966.0,1,1,68.4,"B,C,W"
2197,652,6960.0,1,1,66.3,"B,C,W"
2198,1702,6958.0,1,1,80.9,"B,C,W"
2976,2844,19620.0,0,4,54.0,"B,C,W"
1272,2975,6954.0,0,5,36.8,"B,C,W"
1953,2172,6950.0,0,5,40.85,"B,C,W"
1338,2975,6948.0,0,4,45.6,"B,C,W"
470,2264,6870.0,0,3,58.3,"B,C,W"
759,1143,6864.0,0,5,41.85,"B,C,W"
2936,1952,19602.0,0,5,44.4,"B,C,W"
1665,2188,6686.0,0,4,45.55,"B,C,W"
2927,2759,6630.0,1,1,86.6,"B,C,W"
2762,2927,6628.0,1,1,89.3,"B,C,W"
2926,2762,6626.0,1,1,89.6,"B,C,W"
2896,2897,30080.0,0,4,47.8,"B,C,W"
2515,2118,6432.0,0,4,49.2,"B,C,W"
2504,2146,6406.0,0,5,33.8,"B,C,W"
2504,936,6404.0,0,5,32.0,"B,C,W"
1953,1601,6382.0,0,5,36.35,"B,C,W"
1953,758,6380.0,0,5,37.1,"B,C,W"
2852,2853,6316.0,0,4,53.9,"B,C,W"
2844,2514,6260.0,0,5,36.0,"B,C,W"
2844,2118,6258.0,0,4,45.3,"B,C,W"
1701,2825,6102.0,0,4,50.1,"B,C,W"
1601,2190,6056.0,0,5,33.3,"B,C,W"
2790,2791,19562.0,0,5,40.2,"B,C,W"
2763,2697,5822.0,0,5,37.95,"B,C,W"
2697,120,5820.0,0,5,39.45,"B,C,W"
2697,590,5818.0,0,5,44.4,"B,C,W"
2760,2761,5810.0,0,3,57.4,"B,C,W"
2758,1206,19554.0,0,5,32.6,"B,C,W"
